product_category,avg_review_score,avg_delivery_days,avg_order_price,total_orders
bed_bath_table,4.011,12.91,111.24,9058
health_beauty,4.233,12.0,143.02,8568
sports_leisure,4.236,12.16,127.23,7445
computers_accessories,4.087,13.08,136.69,6468
furniture_decor,4.076,13.03,115.21,6165
housewares,4.204,11.04,108.69,5657
watches_gifts,4.125,12.69,212.98,5436
telephony,4.054,12.9,76.07,4060
auto,4.155,12.18,151.44,3770
toys,4.245,11.61,124.49,3739
cool_stuff,4.236,12.31,172.33,3486
garden_tools,4.19,13.55,138.48,3407
perfumery,4.265,11.86,126.98,3063
baby,4.121,12.56,145.1,2753
electronics,4.129,12.85,60.27,2485
stationery,4.304,12.73,99.69,2229
fashion_bags_accessories,4.245,11.14,82.4,1799
pet_shop,4.286,11.29,126.06,1671
office_furniture,3.647,20.57,214.45,1238
luggage_accessories,4.372,10.84,136.57,1007
consoles_games,4.179,13.7,145.04,1006
home_appliances,4.216,11.24,105.66,744
construction_tools_construction,4.128,10.71,194.8,724
musical_instruments,4.236,13.07,302.05,602
small_appliances,4.272,10.94,300.45,599
books_general_interest,4.532,11.45,91.93,489
home_construction,4.063,13.5,171.97,462
food,4.329,9.71,65.31,432
furniture_living_room,4.087,13.86,163.92,401
home_confort,3.908,13.69,156.95,381
audio,3.849,13.4,149.59,342
drinks,4.23,10.37,75.31,283
market_place,4.114,12.32,102.84,263
books_technical,4.425,10.57,73.8,254
air_conditioning,4.129,11.74,218.34,241
kitchen_dining_laundry_garden_furniture,4.123,11.88,191.97,235
construction_tools_lights,4.188,9.74,177.89,229
fashion_shoes,4.286,15.69,98.4,229
industry_commerce_and_business,4.235,10.69,167.87,226
home_appliances_2,4.15,13.84,476.93,226
food_drink,4.447,10.83,68.25,217
fixed_telephony,3.957,12.44,263.47,207
art,4.126,11.15,123.87,190
costruction_tools_garden,4.241,11.9,138.11,187
agro_industry_and_commerce,4.107,11.37,398.68,177
computers,4.243,13.64,1205.37,173
construction_tools_safety,3.974,11.6,251.53,154
signaling_and_security,4.117,10.64,155.32,137
christmas_supplies,4.107,15.16,65.59,122
fashion_underwear_beach,4.009,13.85,79.79,116
fashion_male_clothing,3.819,12.61,97.69,105
costruction_tools_tools,4.426,11.85,167.81,94
furniture_bedroom,4.307,13.73,211.42,88
tablets_printing_image,4.145,12.68,89.5,76
small_appliances_home_oven_and_coffee,4.431,9.89,647.08,72
cine_photo,4.333,10.4,109.5,63
dvds_blu_ray,4.2,12.96,82.32,55
books_imported,4.51,7.61,89.77,49
furniture_mattress_and_upholstery,3.892,14.41,116.85,37
party_supplies,4.081,8.86,118.52,37
music,4.389,11.69,165.46,36
fashio_female_clothing,3.917,12.92,75.0,36
flowers,4.519,11.67,35.43,27
diapers_and_hygiene,3.96,10.4,60.03,25
fashion_sport,4.542,10.25,82.07,24
arts_and_craftmanship,4.318,5.73,82.91,22
home_comfort_2,3.905,15.24,33.13,21
cds_dvds_musicals,4.667,10.75,60.83,12
la_cuisine,4.545,7.09,172.18,11
fashion_childrens_clothes,5.0,8.86,84.28,7
security_and_services,2.5,15.0,141.65,2
