product_category,order_month,monthly_revenue,monthly_orders,avg_review_score
agro_industry_and_commerce,2017-01,65.97,2,4.5
agro_industry_and_commerce,2017-02,224.84,7,3.857
agro_industry_and_commerce,2017-03,81.99,2,2.0
agro_industry_and_commerce,2017-05,1579.94,4,4.75
agro_industry_and_commerce,2017-06,1390.0,1,1.0
agro_industry_and_commerce,2017-07,1180.0,1,5.0
agro_industry_and_commerce,2017-08,88.0,1,5.0
agro_industry_and_commerce,2017-09,1993.99,3,3.0
agro_industry_and_commerce,2017-10,3350.28,5,4.2
agro_industry_and_commerce,2017-11,13932.49,13,3.385
agro_industry_and_commerce,2017-12,5291.7,9,4.556
agro_industry_and_commerce,2018-01,5853.44,15,4.4
agro_industry_and_commerce,2018-02,7385.3,20,4.1
agro_industry_and_commerce,2018-03,5161.0,24,4.292
agro_industry_and_commerce,2018-04,4500.7,12,4.0
agro_industry_and_commerce,2018-05,3279.75,8,4.5
agro_industry_and_commerce,2018-06,3515.8,10,4.2
agro_industry_and_commerce,2018-07,6669.82,26,4.269
agro_industry_and_commerce,2018-08,5021.09,14,3.857
air_conditioning,2016-10,1349.29,4,4.0
air_conditioning,2017-01,663.7,3,3.0
air_conditioning,2017-02,2217.4,10,2.9
air_conditioning,2017-03,4103.81,16,4.375
air_conditioning,2017-04,2492.23,13,4.769
air_conditioning,2017-05,914.87,6,4.833
air_conditioning,2017-06,2084.48,9,3.889
air_conditioning,2017-07,1396.1,5,3.4
air_conditioning,2017-08,4172.73,11,4.636
air_conditioning,2017-09,1629.15,7,4.429
air_conditioning,2017-10,2562.42,9,3.889
air_conditioning,2017-11,4138.41,15,3.933
air_conditioning,2017-12,668.8,3,4.333
air_conditioning,2018-01,4674.74,22,4.136
air_conditioning,2018-02,2626.89,11,4.273
air_conditioning,2018-03,2347.78,22,3.864
air_conditioning,2018-04,2941.99,21,4.571
air_conditioning,2018-05,1851.3,13,4.231
air_conditioning,2018-06,3567.9,9,3.889
air_conditioning,2018-07,2657.86,15,4.133
air_conditioning,2018-08,3556.9,17,4.0
art,2017-03,174.6,4,4.75
art,2017-04,119.9,1,4.0
art,2017-05,6927.25,6,5.0
art,2017-06,200.3,4,4.0
art,2017-07,386.75,3,4.333
art,2017-08,244.7,4,4.25
art,2017-09,388.54,3,3.333
art,2017-10,349.05,3,4.667
art,2017-11,75.0,1,5.0
art,2017-12,109.9,2,5.0
art,2018-01,2640.67,19,3.474
art,2018-02,1216.71,11,3.909
art,2018-03,433.5,6,4.0
art,2018-04,1975.38,24,4.5
art,2018-05,2491.97,33,4.0
art,2018-06,2546.04,28,4.286
art,2018-07,1843.2,21,3.81
art,2018-08,1412.39,17,4.294
arts_and_craftmanship,2017-05,41.86,1,5.0
arts_and_craftmanship,2017-07,129.9,1,5.0
arts_and_craftmanship,2018-04,15.99,1,4.0
arts_and_craftmanship,2018-05,89.8,1,4.0
arts_and_craftmanship,2018-07,644.77,9,4.0
arts_and_craftmanship,2018-08,901.76,9,4.556
audio,2016-10,156.99,2,5.0
audio,2017-02,163.8,5,3.4
audio,2017-03,1179.77,13,3.846
audio,2017-04,942.2,9,3.444
audio,2017-05,2081.18,17,4.176
audio,2017-06,1671.0,11,3.909
audio,2017-07,443.7,5,4.0
audio,2017-08,1050.7,7,3.786
audio,2017-09,1042.59,10,4.1
audio,2017-10,2308.68,30,3.6
audio,2017-11,3677.23,33,3.606
audio,2017-12,2686.93,17,4.176
audio,2018-01,3820.28,25,4.08
audio,2018-02,2828.49,15,3.267
audio,2018-03,10431.69,32,2.938
audio,2018-04,7984.17,29,4.034
audio,2018-05,2642.68,19,3.842
audio,2018-06,1800.89,18,4.222
audio,2018-07,2062.64,21,4.381
audio,2018-08,2185.3,24,4.417
auto,2016-10,1128.26,8,3.625
auto,2017-01,4820.03,27,3.704
auto,2017-02,12093.98,73,4.342
auto,2017-03,13272.93,67,4.313
auto,2017-04,15190.15,76,4.0
auto,2017-05,16301.35,98,4.173
auto,2017-06,28938.91,99,3.98
auto,2017-07,14123.59,102,4.181
auto,2017-08,16798.62,126,4.413
auto,2017-09,14017.87,94,4.287
auto,2017-10,21419.39,130,4.273
auto,2017-11,34333.7,238,4.044
auto,2017-12,38348.17,232,4.017
auto,2018-01,35584.12,241,4.104
auto,2018-02,40907.98,296,3.924
auto,2018-03,43178.46,312,3.913
auto,2018-04,48080.2,328,4.177
auto,2018-05,40652.45,294,4.19
auto,2018-06,44955.4,264,4.205
auto,2018-07,43391.89,323,4.418
auto,2018-08,43387.49,342,4.313
baby,2016-10,1371.17,9,4.0
baby,2017-01,6177.9,30,4.667
baby,2017-02,3026.48,30,4.4
baby,2017-03,3625.18,41,4.244
baby,2017-04,4084.45,47,3.851
baby,2017-05,9245.71,95,4.379
baby,2017-06,8010.07,71,3.775
baby,2017-07,15801.2,121,4.496
baby,2017-08,19195.09,118,4.364
baby,2017-09,23404.48,159,4.176
baby,2017-10,16366.7,130,4.392
baby,2017-11,20864.56,180,3.933
baby,2017-12,19174.0,132,3.879
baby,2018-01,30144.0,205,3.883
baby,2018-02,26109.15,162,3.765
baby,2018-03,39690.15,204,3.694
baby,2018-04,46885.35,209,4.081
baby,2018-05,32947.35,212,4.269
baby,2018-06,30334.6,200,4.255
baby,2018-07,21871.3,201,4.363
baby,2018-08,21136.59,197,4.259
bed_bath_table,2016-10,579.3,4,4.75
bed_bath_table,2017-01,4058.11,42,4.238
bed_bath_table,2017-02,15393.63,137,4.358
