category_name,total_orders,avg_delivery_days,avg_review_score,repurchase_rate
NULL,1392,12.31,NULL,NULL
"agro_industry_and_commerce",177,11.22,4.09,0.0057
"air_conditioning",246,11.79,4.05,0.0082
"art",195,10.87,4.08,0.0000
"arts_and_craftmanship",23,5.29,4.13,0.0952
"audio",348,12.88,3.83,0.0029
"auto",3809,11.77,4.12,0.0106
"baby",2809,12.06,4.08,0.0090
"bed_bath_table",9272,12.34,3.92,0.0272
"books_general_interest",495,11.17,4.51,0.0123
"books_imported",50,7.67,4.51,0.0204
"books_technical",256,10.23,4.39,0.0039
"cds_dvds_musicals",12,10.36,4.64,0.0000
"christmas_supplies",125,15.30,4.07,0.0000
"cine_photo",63,10.13,4.30,0.0000
"computers",177,13.05,4.22,0.0057
"computers_accessories",6529,12.78,3.99,0.0186
"consoles_games",1018,13.14,4.14,0.0039
"construction_tools_construction",736,10.29,4.09,0.0055
"construction_tools_lights",242,9.25,4.09,0.0000
"construction_tools_safety",159,11.43,3.97,0.0063
"cool_stuff",3559,11.90,4.19,0.0045
"costruction_tools_garden",190,11.43,4.12,0.0160
"costruction_tools_tools",97,11.63,4.44,0.0000
"diapers_and_hygiene",25,10.24,3.38,0.0417
"drinks",287,10.02,4.13,0.0177
"dvds_blu_ray",56,12.51,4.18,0.0182
"electronics",2517,12.42,4.07,0.0040
"fashio_female_clothing",36,11.49,3.96,0.0000
"fashion_bags_accessories",1820,10.61,4.19,0.0296
"fashion_childrens_clothes",7,8.14,5.00,0.0000
"fashion_male_clothing",106,12.47,3.76,0.0192
"fashion_shoes",235,14.93,4.29,0.0043
"fashion_sport",26,11.38,4.37,0.0000
"fashion_underwear_beach",117,13.28,4.05,0.0000
"fixed_telephony",212,12.24,3.76,0.0000
"flowers",29,10.70,4.42,0.0000
"food",441,9.10,4.26,0.0092
"food_drink",221,10.45,4.37,0.0091
"furniture_bedroom",90,12.76,4.25,0.0349
"furniture_decor",6307,12.40,3.95,0.0204
"furniture_living_room",414,13.29,3.94,0.0172
"furniture_mattress_and_upholstery",37,13.89,3.89,0.0000
"garden_tools",3448,13.23,4.08,0.0082
"health_beauty",8647,11.52,4.19,0.0167
"home_appliances",747,10.87,4.23,0.0727
"home_appliances_2",227,13.42,4.16,0.0135
"home_comfort_2",24,14.07,3.63,0.0435
"home_confort",392,13.04,3.85,0.0026
"home_construction",483,12.76,3.96,0.0000
"housewares",5743,10.46,4.11,0.0106
"industry_commerce_and_business",231,10.31,4.13,0.0087
"kitchen_dining_laundry_garden_furniture",241,11.45,4.03,0.0000
"la_cuisine",13,7.07,4.00,0.0000
"luggage_accessories",1019,10.19,4.35,0.0059
"market_place",274,11.68,4.07,0.0037
"music",38,11.16,4.21,0.0000
"musical_instruments",611,12.50,4.22,0.0066
"office_furniture",1254,20.39,3.52,0.0072
"party_supplies",38,8.90,3.83,0.0000
pc_gamer,7,8.75,3.63,0.0000
"perfumery",3086,11.28,4.22,0.0115
"pet_shop",1688,10.76,4.22,0.0114
portateis_cozinha_e_preparadores_de_alimentos,13,7.79,3.43,0.0000
security_and_services,2,15.00,2.50,0.0000
"signaling_and_security",138,9.97,4.09,0.0073
"small_appliances",609,10.33,4.23,0.0050
"small_appliances_home_oven_and_coffee",72,9.40,4.44,0.0000
"sports_leisure",7529,11.69,4.17,0.0232
"stationery",2264,12.28,4.24,0.0062
"tablets_printing_image",79,12.58,4.12,0.0000
"telephony",4093,12.38,4.00,0.0104
"toys",3803,11.23,4.21,0.0088
"watches_gifts",5493,12.19,4.07,0.0113
